step,avg_reward,std_reward,avg_ep_length,actor_loss,critic_loss,bc_loss,ql_loss,avg_q_batch,avg_q_policy,actor_grad_norm,critic_grad_norm
2000,-144.11862384575346,96.64955704690506,1000.0,0.12994931166246534,-1.0007333659529687,-0.8707840559482575,5.093096467927098,69.72884083339677,69.81652417850495,1.2057535405308009,134.33703371453285
4000,-238.55898375153848,156.08925125410394,1000.0,0.08171424162015319,-0.999197637528181,-0.9174833980500698,9.061389626026154,186.59838817214967,186.78552461242677,0.7422830100506544,480.13983803939817
6000,-111.20160669703576,288.1141436625453,1000.0,0.07569034372642636,-0.9990195009708405,-0.9233291580080986,18.03426589155197,302.3341627960205,302.8064761581421,0.6166024480462075,1187.985589038849
8000,-167.39413281488046,330.5736146425069,1000.0,0.07203446436114609,-0.9989294161498546,-0.9268949528336525,29.43863475227356,413.41928015136716,414.3122853240967,0.5224773947149515,1662.2408883285523
10000,-10.721530129382115,385.07858799602013,1000.0,0.0689388267416507,-0.9987667606174946,-0.9298279348313808,44.07382393074035,518.9140586242676,520.2501681671142,0.47254220594465735,2516.6375611419676
12000,-262.3282151889105,520.7438526679782,1000.0,0.06631479793787003,-0.9988282716572284,-0.9325134749114513,60.13195991039276,619.2427633056641,620.9801447448731,0.4314897451251745,3453.7346579589844
14000,5.650024680655295,305.82047665368515,1000.0,0.0644501745197922,-0.9986924791634083,-0.9342423058748245,75.20623540306092,713.3676440734863,715.3987488708497,0.40569485139101746,3916.5441297302245
16000,-218.0537861169537,464.3745494212238,1000.0,0.06249750262498856,-0.9985586642622948,-0.9360611627697945,94.92131171226501,801.4172141723633,803.6999482727051,0.3902982060685754,4612.11267175293
18000,-394.0816712228915,503.290918110702,1000.0,0.060741504594683644,-0.9982911605536938,-0.937549656867981,117.2033028831482,883.4069353942871,885.8638435058593,0.3794621815979481,5586.435679077148
20000,-358.88925229972995,442.44833466743927,1000.0,0.05894336510822177,-0.9981361046135425,-0.9391927411556243,138.1871847267151,959.1325044555664,961.6592004394531,0.3706252441853285,6131.518978637695
22000,-436.79358208297134,189.1146095937666,1000.0,0.05762074857018888,-0.9979054944515229,-0.9402847464978695,156.55716107177733,1028.1172067871094,1030.6524670715332,0.3700483529269695,6953.90610522461
24000,-359.12771086398095,49.376492471656505,1000.0,0.05611273619532585,-0.997805441737175,-0.9416927075684071,179.0152034225464,1091.2048779296874,1093.7425498046875,0.36206059528142215,7422.308718139649
26000,-344.72383378429424,56.561527879951356,1000.0,0.05508513887040317,-0.9975892460346222,-0.9425041082501412,201.1151903152466,1146.9555396118164,1149.483771484375,0.36223159776628017,8044.21369140625
28000,-356.0233549068574,264.18852780177536,1000.0,0.05395695844292641,-0.9974515074491501,-0.9434945494830609,234.1154630508423,1198.2301654052735,1200.7837307128907,0.3643363967612386,8787.948460205078
30000,-557.968698062208,135.6929407227136,1000.0,0.05308477154560387,-0.9972707116603852,-0.9441859410405159,245.50084924697876,1244.4487913208009,1246.9489002685548,0.3522344532087445,8861.036946166992
32000,-328.6920769521171,440.6226631273953,1000.0,0.05230511469580233,-0.9969745571315288,-0.9446694437265396,271.7195999031067,1285.108806213379,1287.5969368286133,0.35063289373368023,10096.68901586914
34000,-261.4366616178237,297.9145406563462,1000.0,0.05129934771731496,-0.9968108351230621,-0.9455114884078503,282.7851499977112,1322.7468032836914,1325.2792658691405,0.3449040502086282,9549.437473876953
36000,-335.5403543175111,284.41833787430943,1000.0,0.05074916215054691,-0.9967677961289882,-0.9460186351835728,308.86305643463135,1356.3949317626953,1358.8730873413085,0.33304673424363135,10334.998832763671
38000,-258.7689466798186,155.2838647228122,1000.0,0.0501261274125427,-0.9965297960340976,-0.9464036702513695,320.4768975639343,1386.5642980957032,1389.0199432983397,0.33478071016073224,10610.321409301758
40000,-56.87108617560474,391.02616144875856,1000.0,0.04960269290953875,-0.9963717109560967,-0.9467690194547176,331.71163306427,1413.7742666015624,1416.2595823364259,0.3283668471425772,11061.362317016601
42000,266.36213607470717,315.3298757592118,1000.0,0.04908612873777747,-0.9961265558600426,-0.9470404273867608,356.6478351898193,1437.8983038330077,1440.4215270385741,0.32159109104424716,10711.478829956055
44000,221.22207539584662,412.2587893777302,1000.0,0.048529784452170134,-0.9960595780611038,-0.9475297950506211,362.53092460250855,1459.8815787963867,1462.406283630371,0.3176070656850934,11607.97806994629
46000,208.90328400573964,343.70114102343865,1000.0,0.048360555628314615,-0.9959010759294034,-0.9475405208766461,371.85833433914183,1479.888551147461,1482.4163057861329,0.32044712053239344,11587.438982421874
