step,avg_reward,std_reward,avg_ep_length,actor_loss,critic_loss,bc_loss,ql_loss,avg_q_batch,avg_q_policy,actor_grad_norm,critic_grad_norm
2000,176.15236989675833,7.878560099661132,80.8,0.12899097672477364,-0.9997708451747894,-0.8707798700630665,1.1315326091903262,19.546957049483435,19.641093623824418,0.321764090128243,10.785057430017739
4000,273.989349072873,101.54040459514206,105.2,0.09914961935952306,-0.9999866237640381,-0.9008370068967342,2.6506789553165437,54.19967592048645,54.34155529975891,0.3725480806156993,43.98041422867775
6000,406.61569842881465,41.70035752971274,137.6,0.09150154317915439,-1.0000205953121186,-0.9085190547406673,3.2319345346987247,87.3943957939148,87.48703039169311,0.35778848542273045,85.1274358625412
8000,372.7479534141614,72.66996285003727,129.5,0.08706187212839722,-0.9999847848117351,-0.9129229146838188,2.6713595928549765,116.9752272491455,117.0451826133728,0.35547198030352595,136.13181589603425
10000,341.30422108830214,73.84010876513402,122.7,0.08333583184704184,-0.999845017015934,-0.9165091873407364,3.18844599044323,143.51440742492676,143.597501701355,0.32831067584455015,198.25866337394714
12000,382.97189228257537,362.01513673936677,129.3,0.07955898771062493,-0.999901325404644,-0.9203423386514187,4.172594932615757,167.51475605773925,167.61045150756837,0.31223436799645427,269.6373493881226
14000,245.84715027125145,140.81688138832044,92.7,0.07589353626966476,-0.9998690998852253,-0.9239755643308163,4.094113649487495,189.25258348083497,189.34519771575927,0.2943185031712055,288.57569729804993
16000,270.8791939709809,228.21317669758562,92.4,0.07292065057903528,-0.9999558467864991,-0.9270351973772049,4.030994408845902,208.75137109375,208.8374497680664,0.27648322627693417,284.65830436706545
18000,165.55061202526542,330.69954256745433,58.7,0.07054341869615019,-1.0000016973614694,-0.9294582793414593,3.5819149317741394,226.25864125061034,226.35120542144776,0.2664629966840148,360.07193123626706
20000,441.60714102451664,619.4492351735635,135.9,0.0682902011219412,-0.99989173874259,-0.9316015394628048,3.411530706524849,242.18420848846435,242.2823335723877,0.2543229820281267,350.58512852096555
22000,1281.6186798978686,827.4609595652828,354.8,0.06601075684465468,-1.000083804666996,-0.9340730497837066,4.081412536084652,256.3797781524658,256.47058157348636,0.2428907323628664,397.3456613044739
24000,910.353162182659,188.82881611762883,253.4,0.06378972628712654,-1.000003869831562,-0.9362141442894936,4.045317058622837,269.057807510376,269.1441737823486,0.23769621416181325,419.29443119430545
26000,803.7177348950911,885.054826934098,229.4,0.061983167704194785,-0.9999960370659828,-0.9380128710865975,3.928737559914589,280.5565394897461,280.6482811584473,0.22931149335205556,435.4760272026062
28000,30.98015837225526,2.7496869950881835,25.6,0.06009768423810601,-0.9999975132644177,-0.9398998297452926,4.1971335784196855,290.9007704162598,291.0007048645019,0.22653877165168523,464.13029137420654
