step,avg_reward,std_reward,avg_ep_length,actor_loss,critic_loss,bc_loss,ql_loss,avg_q_batch,avg_q_policy,actor_grad_norm,critic_grad_norm
2000,229.81636271066958,108.05529742314688,205.8,0.10697153063304722,-1.0005211888551713,-0.8935496594905853,1.5604895501695573,29.995871906349436,30.13312381205894,0.41121867815405133,23.15533019441366
4000,226.09722417770132,74.81543600062443,139.5,0.06454608055576683,-1.0000025173127651,-0.9354564385414124,1.94184857660532,83.93792353630066,84.11409753608703,0.3114905222505331,89.92968860101699
6000,74.83902460447375,93.37349414728823,55.3,0.057621401097625494,-0.9999431036412716,-0.9423217033147812,2.51409459900856,137.62626440048217,137.81509508895874,0.2856241664290428,188.5109360074997
8000,120.51209897535966,283.25671444777896,56.2,0.05345859284885228,-1.000063526660204,-0.9466049349009991,3.707396970629692,187.0608645477295,187.2855574645996,0.2613651350289583,304.68701597595214
10000,176.93455988658394,463.10701812644743,57.2,0.05028241880424321,-1.0000599052608012,-0.9497774873673915,4.913071325421333,232.44984143829345,232.66451501464843,0.244660540394485,387.8962148494721
12000,11.625188731198188,8.930982479019264,21.3,0.04810463997721672,-0.9999632585644722,-0.9518586194217205,5.475332131862641,273.3755697402954,273.558090927124,0.23026029347628355,512.6268864364624
14000,26.778192850259547,38.10833168261289,28.6,0.046191634574905036,-1.0000382791757583,-0.9538466452360154,5.791947013020516,310.3253726043701,310.4932085723877,0.21867090995609761,576.2447538528443
16000,32.47939014760764,40.00471874173707,30.9,0.044884984562173484,-1.000058567136526,-0.955173584163189,6.681849042773247,343.75390051269534,343.91906172180177,0.20681604943424464,787.8865212593079
18000,1361.098480921401,1605.7590589983768,278.5,0.04353958244435489,-1.0000131292939185,-0.9564735481441021,7.455769090652466,374.20652659606935,374.37434335327146,0.1956743647158146,832.5462425918579
20000,16.10503600064012,4.462692122832972,25.0,0.04239516617916524,-1.0000343497991562,-0.957639184564352,7.711482565999031,401.95696133422854,402.1216520385742,0.19091297294944526,933.7735363464355
22000,14.305602183671965,4.853391749534842,23.8,0.04141292998380959,-0.9999076242744923,-0.9584946953058243,8.484982213377952,427.1181856842041,427.28636462402346,0.18211646429449319,971.8519727249145
24000,24.491189304985443,25.041737766062212,28.5,0.04051166029833257,-1.0000226246416568,-0.9595109646320343,8.69081359052658,449.9610018463135,450.1299046020508,0.17656047847494483,1045.8873641052246
26000,49.20051756340896,77.36912827884647,39.3,0.039849750497378406,-0.9999113960266113,-0.960061645835638,9.550635817050933,470.67781629943846,470.85051260375974,0.1720398198366165,1029.7482170410156
28000,53.39894629510668,32.43450470435363,42.6,0.03897696010302752,-0.9999868351519108,-0.9610098749399185,9.974033120155335,489.3279492034912,489.4974495849609,0.16768288589268923,1125.3039523086547
30000,46.93003686239854,35.39103141872033,39.3,0.03856231824401766,-0.9999274759888649,-0.961365158200264,10.917544657707214,506.32137203979494,506.4943632659912,0.16465883661806582,1388.5196563339234
32000,25.30375446215519,6.097611957471301,30.5,0.03786219965480268,-0.9999885123968124,-0.962126313507557,10.562171919584275,521.7197937164307,521.8933953857422,0.16092650755494833,1255.5772353286743
34000,39.439372172231046,25.11471696965884,37.2,0.03735826530493796,-0.9999655388295651,-0.9626072745323181,11.688449708223343,535.5380298156738,535.7098262329101,0.15771176087111236,1442.5544993972778
36000,18.29747080565623,2.8671428024682912,26.0,0.03686902419198304,-1.0000416664481162,-0.9631726421713829,11.023599472284317,548.0223355712891,548.1906014709473,0.15637571476772427,1380.2978148498535
38000,288.70411326663765,319.22442091701424,176.2,0.03645705298520625,-1.0000299547612668,-0.9635729021728039,12.342671811819077,559.2637451171875,559.4387330932617,0.15291909082233907,1452.9966814651489
40000,81.52274839220541,175.29049468443253,42.0,0.03604260962922126,-1.0000189271867275,-0.9639763178825378,12.863469110250474,569.5517408752441,569.7288857727051,0.15135189977288246,1340.7901199645996
42000,1089.3582959070386,1509.7676580875277,268.0,0.03565876349527389,-0.9999657286703587,-0.9643069652318954,11.622391251325608,578.9332547607422,579.1131877441406,0.14959383375942706,1398.6422372894287
44000,372.26098625733005,330.1405918647695,126.9,0.03542753519490361,-0.9999965429604053,-0.9645690078437328,12.082969619989395,587.3706652832032,587.5485932312012,0.15098114298284054,1464.5077244873046
46000,418.6600982874189,170.094997494898,140.4,0.0350455291448161,-0.9999947085082531,-0.9649491802453994,12.074664937496186,595.048131866455,595.2295955810547,0.14855831020697952,1475.9078928985596
48000,305.72311620107627,259.9705528628186,123.0,0.03473308423813432,-0.9999828844666481,-0.965249800980091,13.016161632061005,602.0473319702148,602.2344788513184,0.1469947897233069,1427.4924085083007
50000,1317.7757699231738,2240.905134077914,264.2,0.03439996212068945,-0.9999498900175094,-0.9655499288141728,12.963520643472672,608.2079060974121,608.3936294250489,0.1456898869536817,1534.4812350463867
52000,98.49372614031816,3.613821612863391,61.0,0.03414632437936962,-1.0000268379747868,-0.9658805144131184,12.811921057462692,613.9883738708496,614.1742574768066,0.14469301763921977,1539.0145957717896
54000,702.6775183376027,1801.359295799928,155.3,0.03390490525495261,-0.9999654858112336,-0.9660605811178684,14.077415299654007,619.1976443786621,619.3886956481933,0.14443054100871086,1507.0586136779784
56000,2214.3295172421613,2457.5700106177687,409.8,0.03368485871236771,-1.0000818545520305,-0.9663969964683056,12.956960443019867,623.9489842834473,624.1401777038574,0.14373577200248838,1531.233698310852
58000,1120.493468932193,1326.8044119571541,249.3,0.0333038593120873,-0.9999308865368366,-0.9666270273923874,14.595075261116028,627.9314912719726,628.120593963623,0.1422265666425228,1829.4920641784668
60000,1033.241836049063,1902.9961699932865,214.5,0.03325634041149169,-0.9999236587882042,-0.9666673189103603,13.387725301027299,631.861180114746,632.0511694946289,0.1424071626588702,1561.5196649169923
62000,3340.541426717049,3168.3139925430587,539.4,0.033018032137304545,-1.000052125096321,-0.9670340937972068,14.20207346844673,635.2802077636719,635.4769713745117,0.14170625605434178,1740.0275848388671
64000,2306.5106905273874,2871.602691697734,391.6,0.032939214650541546,-1.0000273641049862,-0.9670881499648094,12.998467544794083,638.3365364074707,638.5249264831543,0.14241119376569986,1644.0168606414795
66000,393.05657068144103,479.1172767024132,122.9,0.03266776507720351,-0.9999396324157714,-0.9672718686461449,13.134786371946335,641.1827176818848,641.3795324401856,0.14081552570313216,1606.47424861145
68000,5457.666068286135,2104.6578670167055,834.3,0.03251264409255236,-1.000011409521103,-0.9674987663030624,13.509277188539505,643.8250858764649,644.0190355529785,0.14117551746591925,1751.0150542297363
70000,2107.5631718979384,2993.816209807096,352.1,0.03234943331871182,-0.9999941110908985,-0.967644678324461,13.059622112989425,646.3043371276856,646.5036793518067,0.13990267395973205,1481.5623772888184
72000,854.1466824293459,1874.4064323743191,180.1,0.03226395917870104,-0.9999589509367943,-0.9676949926614762,14.052922757387162,648.4090738830566,648.6124414978027,0.1398630919866264,1688.5205497283935
74000,5919.539299157874,946.4761689078928,958.8,0.03212452114373446,-0.9999940147995949,-0.9678694940805436,13.466579422473908,650.4418222961426,650.6477492980957,0.14050533940270543,1568.1636800231934
76000,3779.0439513560095,2376.473535553726,654.7,0.03199150184728205,-0.9999458921849728,-0.9679543903768063,14.268763898849487,652.152388671875,652.3673374328613,0.13987002889439465,1741.6207044372559
78000,6168.258592235869,958.7119314767986,964.0,0.03186321550235152,-1.0000408133566379,-0.9681775982379913,13.84400576710701,653.7969358825684,654.0090976867676,0.1400439143553376,1732.5495196380616
80000,5295.238821857433,2592.6239443511918,814.1,0.03176922147721052,-1.0000017362833022,-0.9682325156033039,13.94525487089157,655.3994169616699,655.6143471679687,0.13979379216581583,1635.415571975708
