step,avg_reward,std_reward,avg_ep_length,actor_loss,critic_loss,bc_loss,ql_loss,avg_q_batch,avg_q_policy,actor_grad_norm,critic_grad_norm
2000,287.59356335199504,144.2085519667052,109.3,0.12938879473134876,-1.0013114420771598,-0.8719226483106614,1.081373913772404,19.384074751779437,19.478765060840175,0.3128608075380325,11.247102894254029
4000,448.65753409305125,46.43008545872679,152.0,0.0976971045061946,-0.9999635453224183,-0.9022664431631565,2.4559422658383845,53.69112379837036,53.8254619808197,0.33715700412541627,40.97287143945694
6000,464.8034373056852,70.14340290946801,153.0,0.09040155043080449,-0.9999473550915718,-0.9095458072423935,2.5826132755577564,86.6351964187622,86.71843032836914,0.34355781971663235,75.21590879940986
8000,431.22344224012596,13.597946004288355,144.6,0.08576375153660774,-0.9999258915781974,-0.9141621418297291,2.094900064021349,116.1767798538208,116.242343624115,0.33617260015010836,119.18283542060853
10000,368.48081894982835,29.23869590409157,129.5,0.08211338067799806,-0.9999804039895535,-0.917867025077343,2.8111467990279198,142.8569790725708,142.93361708068846,0.3334255198091269,164.48317121887206
12000,437.36965735033164,64.07873211422414,141.5,0.07902891866490244,-0.999992519915104,-0.9209636023044586,3.6694796765446664,166.99364884185792,167.07667645263672,0.31962465041130783,209.5402866382599
14000,924.4940733085338,667.9003882726935,250.2,0.07583385923877359,-0.9999868199527263,-0.9241529614329338,4.001987573802471,188.73566818237305,188.816767829895,0.3076873031631112,246.1959131755829
16000,1223.3923934291336,447.60104769100496,330.8,0.07310482479631901,-0.9999252242445946,-0.9268204004764556,3.5890360481739045,208.27050275421144,208.3525778579712,0.29540564299374816,287.83496883010866
18000,297.88705203104644,339.9637950870366,92.7,0.07074125661887229,-0.9999807851612568,-0.9292395295798779,3.6938256475925444,225.78394875335692,225.87909197235106,0.2823531053140759,310.9807140846252
20000,959.3722955329995,229.4562075684035,271.7,0.06860771726816893,-0.9999779894351959,-0.9313702732026578,3.9882567227482797,241.6074265975952,241.71380547332762,0.27020115150511265,354.2315141029358
22000,593.5781747280354,394.4700619444307,170.7,0.06674602837301791,-0.9999044778048992,-0.9331584507226944,4.3006405544281,255.89706618499756,256.0010906982422,0.2590186945647001,386.8752632064819
24000,321.88827121892217,692.7502545966697,101.7,0.06467590458877384,-0.9999328778088092,-0.9352569743394852,4.105101992547512,268.7836219329834,268.87621286010744,0.24930450052022934,412.8682884559631
26000,429.3431694872738,409.8336122053342,128.3,0.06264765565469861,-1.0000335906147957,-0.9373859362900258,4.297710988044739,280.1499954071045,280.2385975646973,0.23899242381751537,439.3382088508606
28000,122.51867607259149,273.3031164273175,47.2,0.06125665399990976,-0.9999599807560444,-0.9387033281326294,4.676955691218376,290.4414076538086,290.53873471069335,0.23617121597379445,474.85544175720213
30000,1343.2079867576565,807.385793019956,368.8,0.059379947351291776,-1.0000063067376614,-0.9406263603270054,4.763373369216919,299.73719766235354,299.84369052124026,0.23018978659808637,492.9067337112427
32000,1467.289313568108,577.1637316148527,396.3,0.05777794729359448,-0.999960121780634,-0.9421821757853032,4.430134758353233,308.0829468994141,308.1887833099365,0.22480531265586615,516.6302347640991
34000,564.5200792293227,1055.2882156148862,168.6,0.05649554744921625,-1.0000293483138085,-0.943533802062273,5.271300261855125,315.68017640686037,315.7851516113281,0.22238546954095365,527.6751183395386
36000,30.078312324543326,0.9718098992106777,25.0,0.05524627508968115,-1.000148608058691,-0.9449023343920707,4.827403346419334,322.4152681274414,322.519177734375,0.22249805772304534,574.2215061264038
38000,980.2138490286083,429.6125857201106,254.6,0.054191952649503945,-1.000007581591606,-0.9458156298995019,4.906941064953804,328.56897581481934,328.66777058410645,0.2197014514580369,560.2181980476379
40000,422.4480800995355,680.1398423155497,126.5,0.053116477221250534,-1.0000704327523708,-0.9469539559781551,4.743253171205521,333.9690116882324,334.07002291870117,0.2191299378350377,573.6816918640137
42000,1101.3036165349636,566.3415282857306,287.8,0.05223467584326863,-0.9999642961025238,-0.9477296222746372,5.034934457063675,338.85054006958006,338.9502736968994,0.21508712484687567,614.0079358596802
44000,1117.6910715875017,444.81664405785716,291.0,0.051375648505985735,-1.0000975867807864,-0.9487219387888909,4.778697047829628,343.1726504974365,343.2721973876953,0.21332452215254308,617.3127045135498
46000,29.740074126147466,1.2947410984315875,24.9,0.050637575067579745,-1.0000251631438732,-0.9493875897824764,4.467387852430344,347.01276512145995,347.11107273864747,0.21577304933965205,628.1676208343506
48000,1619.542539706366,741.0633951353572,422.3,0.05007550785318017,-0.9999700765609741,-0.9498945700228214,4.486497955083847,350.50426248168947,350.60690780639646,0.21408668292313815,638.8070020599365
50000,1351.786757078383,944.7330793630771,355.5,0.049517347749322656,-1.0000360821783543,-0.9505187352001667,4.957391043186187,353.65096655273436,353.7536917419434,0.21203259136527777,658.2888176116943
52000,2736.306613239113,697.0715487796912,702.2,0.04884745989926159,-1.0000167845785617,-0.9511693259179592,4.246156570553779,356.52259715271,356.6237337188721,0.2124323275461793,648.207212890625
54000,167.7135740386236,405.9430547427752,56.7,0.048373764438554644,-1.0000833011567594,-0.9517095380425453,4.361785470843315,359.0620479736328,359.1638217315674,0.21207694724947215,646.2308564414978
56000,1474.7058360947217,975.0307475429381,359.0,0.0479639589227736,-0.9999552590548992,-0.951991300791502,4.503370515227318,361.35215577697755,361.4552879486084,0.21215379486232996,657.0761462097169
58000,965.500195061781,641.1219571879997,242.1,0.04762312652543187,-1.0000250434279443,-0.9524019179344178,4.099180988430977,363.3934508972168,363.4975902709961,0.21251380161941053,642.6520737380981
60000,1335.074433730575,577.3517023519996,327.5,0.047173353971913454,-1.0000815027952195,-0.9529081501066685,4.666376517534256,365.16790164184573,365.2743433837891,0.21023014859110117,666.8555295257569
62000,1211.999186426606,444.2189832859351,303.8,0.0466319415718317,-0.9999966927468776,-0.9533647519946098,4.738380826950073,366.84462088012697,366.9539200439453,0.21137196934968233,699.7412321777343
64000,1196.4379882139233,268.0939217733951,289.6,0.04659494853764772,-0.9999949794411659,-0.953400032043457,4.650737426280975,368.509949508667,368.6242482299805,0.21136495760828256,659.1768558883667
66000,1075.6318595744635,395.603537363213,266.6,0.046164068141952154,-1.0000394851267338,-0.9538754180371761,4.057522555232048,369.87365724182126,369.9896092071533,0.21044332192838192,664.7175348739624
68000,185.38213943319457,462.4057059687579,61.5,0.045725055987015366,-1.0001067589223385,-0.9543817045092583,4.248237197041512,371.1192398376465,371.2349392547607,0.21188761746883392,674.2185483932495
70000,263.0315209932388,462.63190473137206,79.2,0.04556218170747161,-0.99996080955863,-0.9543986286222935,4.108161105155945,372.31001002502444,372.4303870239258,0.20991997499018908,670.786481376648
72000,1405.1578237718056,633.1301675820936,342.5,0.04527688831463456,-1.000116258174181,-0.9548393715322018,4.017087690472603,373.3806657867432,373.5025671234131,0.20961920712143184,666.1942741470336
74000,1704.8158893140076,872.3964592799973,411.6,0.04491511506959796,-1.0000251793265342,-0.9551100653707981,4.701883141279221,374.38081813049314,374.50302828979494,0.20775827822834253,666.3827736816406
76000,1755.2331021935856,814.8459124013513,427.0,0.04478732641041279,-0.9999433708488941,-0.955156045615673,3.767221579790115,375.27899339294436,375.4033812713623,0.20812463721632957,670.7627690811157
78000,859.8235810284128,566.1909206372063,220.2,0.04456725311651826,-0.9999743198752403,-0.9554070675969124,3.587176342844963,376.07584480285647,376.20087200927736,0.20894508718699217,662.7801093673706
80000,1690.9051471875657,819.0875193872339,410.8,0.04423708418942988,-1.00005470302701,-0.9558176192641258,3.6848321568965914,376.7487903442383,376.8745275115967,0.20826269238442183,676.3150084381103
82000,1837.3922449341171,356.1719459464881,441.9,0.04399731136113405,-1.0000352306067943,-0.9560379203557968,4.262893773674965,377.4425372161865,377.5695253753662,0.20768733694404365,669.1803763275146
84000,1846.0072461968855,650.7376836531806,452.5,0.04388580540008843,-1.0000006078481674,-0.9561148037910462,4.5377226685285565,377.96719537353516,378.09629637145997,0.20861767058074474,668.438105140686
86000,1475.701616880679,236.97601935266655,356.8,0.04359670719131827,-0.9999869013726711,-0.9563901949822903,5.087244436025619,378.52856661987306,378.6592494506836,0.20831362952291965,718.8093717575073
88000,2517.4693771295288,755.8688271089501,609.3,0.043686748337000605,-0.9998866932690144,-0.9561999460756778,4.315761301159859,379.128231552124,379.25721713256837,0.2088980204835534,662.5984594726563
90000,1528.9688221160116,461.79569347126807,370.1,0.04344247989729047,-1.0000223576426506,-0.9565798788070679,3.452085852384567,379.62040589904785,379.7527410888672,0.20784596894681454,654.4985779342651
92000,2139.5751781364515,941.9891068943451,513.4,0.04314850631915033,-0.999952359199524,-0.9568038536906243,3.6486019685268403,380.19291581726077,380.3263536682129,0.20683592259138822,654.412520111084
94000,2159.703707917707,742.4758197906069,521.5,0.04317556853033602,-1.0000276352465152,-0.9568520678281784,4.196018811166287,380.56187530517576,380.6936926422119,0.2073671796247363,692.5413697891236
96000,1753.3857437839997,787.3014650409103,423.9,0.04296117118373513,-0.9999091414511204,-0.9569479708969593,4.61954642701149,380.9797448272705,381.11540924072267,0.20791670399159193,659.7901431350708
98000,2075.629813793116,697.538345632342,493.3,0.042678065180778504,-0.9999982739388943,-0.9573202087581157,3.3787066518068314,381.25354690551757,381.3896245269775,0.20670539534837007,645.4022956008911
100000,2094.4059617575417,1136.7006565847933,502.6,0.04279581789113581,-0.9999665345549583,-0.9571707178354263,5.396032812356949,381.6864571533203,381.81972877502443,0.20553700545430184,689.1038203430176
102000,1652.5081002521977,1097.8313714626283,402.1,0.04240428761765361,-1.0000010811388493,-0.957596794039011,3.531317792594433,382.084787689209,382.21685966491697,0.20580848503857851,635.2448336105347
